group,subgroup,filename,fwhm_L,fwhm_C,fwhm_R,sharpness,flatness
mbesubstrate,.,22.3.png,33.9,58.09,35.26,1.72,0.366
mbesubstrate,.,23.3.png,33.14,36.37,33.61,2.75,0.347
mbesubstrate,.,24.3.png,60.91,0.0,90.51,1000000000.0,0.372
mbesubstrate,.,25.3.png,43.57,79.0,51.95,1.27,0.367
mbesubstrate,.,26.3.png,37.88,58.23,47.4,1.72,0.286
mbesubstrate,.,28.3.png,41.88,88.64,49.67,1.13,0.366
mbesubstrate,.,31.3.png,40.41,75.5,51.26,1.32,0.228
test,Spotty,240709A_45.png,127.76,246.07,136.36,0.41,0.473
test,Spotty,240709A_PbSe_109.png,166.71,135.97,105.1,0.74,0.153
test,Spotty,240709A_PbSe_421.png,21.0,29.46,21.73,3.39,0.207
test,Spotty,240709A_PbSe_452.png,0.0,169.79,686.73,0.59,0.197
test,Spotty,240710T125905_CdTe.png,60.33,323.03,65.7,0.31,0.468
test,Spotty,240715A_GeTe_InGeTe_22mins_100.png,86.18,0.0,113.43,1000000000.0,0.0
test,Spotty,240715B_GeTe_52mins_129.png,194.14,0.0,46.93,1000000000.0,0.098
test,Spotty,240715B_GeTe_52mins_288.png,42.67,0.0,107.68,1000000000.0,0.0
test,Spotty,240715B_GeTe_52mins_414.png,29.26,232.58,58.38,0.43,0.0
test,Spotty,240715B_GeTe_52mins_504.png,29.61,142.83,87.59,0.7,0.045
test,Spotty,240715B_GeTe_52mins_634.png,28.49,568.04,56.15,0.18,0.02
test,Spotty,240715B_GeTe_52mins_758.png,43.94,230.86,126.87,0.43,0.241
test,Spotty,240715B_GeTe_52mins_848.png,27.04,284.4,53.59,0.35,0.05
test,Spotty,240715B_GeTe_52mins_939.png,28.84,230.85,86.26,0.43,0.0
test,Spotty,240715B_GeTe_52mins_993.png,193.85,0.0,42.88,1000000000.0,0.007
test,Spotty,240716B_656.png,136.81,0.0,145.46,1000000000.0,0.29
test,Spotty,240716B_CdTe_623.png,139.37,0.0,149.62,1000000000.0,0.293
test,Spotty,240716B_CdTe_708.png,130.56,172.43,138.85,0.58,0.269
test,Spotty,240716B_CdTe_908.png,151.79,0.0,123.1,1000000000.0,0.494
test,Spotty,240716B_CdTe_998.png,149.32,0.0,136.83,1000000000.0,0.525
test,Spotty,240716B_spottydark713.png,151.79,0.0,0.0,1000000000.0,0.559
test,Spotty,240731A_MnTe_0min_826.png,87.54,0.0,122.57,1000000000.0,0.0
test,Spotty,240731A_MnTe_0min_969.png,94.67,437.92,0.0,0.23,0.0
test,Spotty,240805A_407.png,153.28,0.0,0.0,1000000000.0,0.488
test,Spotty,240805A_588.png,224.31,0.0,0.0,1000000000.0,0.437
test,Spotty,240805A_647.png,232.57,413.69,0.0,0.24,0.434
test,Spotty,240805A_778.png,270.49,268.69,0.0,0.37,0.421
test,Spotty,240805A_998.png,196.55,0.0,0.0,1000000000.0,0.415
test,Spotty,240805C_998.png,128.6,0.0,133.28,1000000000.0,0.327
test,Spotty,240814A_MnTe_0min_297.png,416.39,94.18,0.0,1.06,0.087
test,Spotty,240814A_MnTe_0min_568.png,47.06,0.0,43.94,1000000000.0,0.0
test,Spotty,240814A_MnTe_0min_705.png,45.33,38.97,45.15,2.57,0.208
test,Spotty,240814A_MnTe_0min_874.png,47.29,0.0,39.34,1000000000.0,0.173
test,Spotty,240822_641.png,0.0,148.78,52.23,0.67,0.214
test,Spotty,240822_985.png,279.69,95.46,0.0,1.05,0.197
test,Spotty,240828A_433.png,296.52,0.0,103.44,1000000000.0,0.0
